Event_Name,Event_Client_Id,Venue_Name,Event_Date,Event_Time,as_of_date,unique_views,order_qty,tkt_qty
Canucks vs. Oilers,11005D05E89152CB,Rogers Arena,2023-01-21,19:00,2022-09-11,125,4,13
Canucks vs. Stars,11005D05E8AF5310,Rogers Arena,2023-03-14,19:00,2023-02-18,219,8,30
Canucks vs. Ducks,11005B3CED352DAF,Rogers Arena,2022-02-19,19:00,2021-11-13,161,15,45
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-02-28,496,3,8
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2022-03-03,270,17,43
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2024-01-18,336,8,18
Canucks vs. Senators,11005B3CECC72C72,Rogers Arena,2022-01-08,19:00,2021-10-05,177,45,115
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2024-01-04,197,8,17
Canucks vs. Blues,11005723A1093175,Rogers Arena,2020-01-27,19:00,2019-10-17,50,4,8
Canucks vs. Islanders,11005723A11831B0,Rogers Arena,2020-03-10,19:00,2020-01-31,89,3,7
Canucks vs. Sharks,11005724C2C437A5,Rogers Arena,2020-01-18,19:00,2019-09-17,145,9,25
Canucks vs. Oilers,110056FDD5A83CC4,Rogers Arena,2019-09-17,19:00,2019-09-16,711,35,91
Canucks vs. Lightning,11005EDDB651318C,Rogers Arena,2023-12-12,19:00,2023-11-28,197,8,26
Canucks vs. Oilers,11005EDDB6383138,Rogers Arena,2023-11-06,19:00,2023-09-07,151,4,13
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2019-03-15,1135,47,114
Canucks vs. Flyers,11005D05E89D52EF,Rogers Arena,2023-02-18,19:00,2023-02-01,381,2,7
Canucks vs. Sharks,11005EDDB6593198,Rogers Arena,2023-12-23,19:00,2023-10-08,76,2,7
Canucks vs. Coyotes,11005B3CECF52D6C,Rogers Arena,2022-04-14,19:00,2021-11-08,23,2,5
Canucks vs. Blue Jackets,11005B3CED2C2DA9,Rogers Arena,2021-12-14,19:00,2021-10-22,53,2,5
Canucks vs. Avalanche,11005723840D1F47,Rogers Arena,2020-03-06,19:00,2019-10-29,36,2,6
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2022-02-10,74,2,6
Canucks vs. Senators,1100552677532D9A,Rogers Arena,2019-03-20,19:00,2019-01-27,63,2,6
Canucks vs. Penguins,11005EDDB5F9307D,Rogers Arena,2024-02-27,19:00,2023-10-10,96,2,4
Canucks vs. Sharks,11005723A12031DF,Rogers Arena,2022-03-13,19:00,2019-09-13,36,2,4
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2024-02-29,328,2,4
Cancelled ticket due to 50% capacity Canucks vs Oilers,11005B3CECD22C7D,Rogers Arena,2022-01-25,19:00,2021-12-16,270,2,4
Canucks vs. Blue Jackets,11005526775A2EA2,Rogers Arena,2019-03-24,19:00,2019-02-25,108,2,4
Canucks vs. Sabres,11005EDDB607309D,Rogers Arena,2024-03-19,19:00,2023-11-04,39,1,2
Canucks vs. Blues,11005EDDB5EB3038,Rogers Arena,2024-01-24,19:00,2023-09-23,20,1,2
Canucks vs. Blues,11005EDDB5EB3038,Rogers Arena,2024-01-24,19:00,2023-10-20,42,1,2
Canucks vs. Devils,11005EDDB649316B,Rogers Arena,2023-12-05,19:00,2023-08-08,40,1,2
Canucks vs. Capitals,11005D05E8E1537C,Rogers Arena,2022-11-29,19:00,2022-09-16,46,1,2
Canucks vs. Flames,11005B3CECE42D5E,Rogers Arena,2022-03-19,19:00,2022-01-04,39,1,2
Canucks vs. Flames,11005724C2CC37B1,Rogers Arena,2022-03-14,19:00,2019-10-02,17,1,2
Canucks vs. Islanders,11005723A11831B0,Rogers Arena,2020-03-10,19:00,2020-01-18,95,1,2
Canucks vs. Seattle Kraken,11005EDDB63D315B,Rogers Arena,2023-11-18,19:00,2023-08-08,76,1,3
Canucks vs. Predators,11005D05E8D95352,Rogers Arena,2022-11-05,19:00,2022-09-08,91,1,3
Canucks vs. Ducks,1100552677602EA6,Rogers Arena,2019-03-26,19:00,2019-02-15,58,1,4
Canucks vs. Senators,11005EDDB5DF2FF6,Rogers Arena,2024-01-02,19:00,2023-07-21,46,1,4
Canucks vs. Sharks,11005EDDB6593198,Rogers Arena,2023-12-23,19:00,2023-09-30,59,1,4
Canucks vs. Wings,11005D05E89952E7,Rogers Arena,2023-02-13,19:00,2022-09-05,28,1,4
Canucks vs. Blue Jackets,11005EDDB5EE305A,Rogers Arena,2024-01-27,19:00,2023-08-26,19,1,4
Canucks vs. Coyotes,11005B3CECF52D6C,Rogers Arena,2022-04-14,19:00,2021-11-26,22,1,1
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-02-17,495,1,1
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2023-09-28,17,1,5
Canucks vs. Islanders,11005EDDB63A314A,Rogers Arena,2023-11-15,19:00,2023-08-24,72,1,5
Canucks vs. Seattle Kraken,11005D05E8BB5329,Rogers Arena,2023-04-04,19:00,2023-01-21,94,1,7
Canucks vs. Islanders,11005D05E88352B7,Rogers Arena,2023-01-03,19:00,2022-10-10,66,1,7
Canucks vs. Vegas Golden Knights,11005B3CECED2D64,Rogers Arena,2022-04-03,16:00,2021-12-24,42,7,24
Canucks vs. Avalanche,11005B3CED182D8E,Rogers Arena,2021-11-17,18:00,2021-11-14,1092,21,49
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:30,2023-12-10,117,8,22
Canucks vs. Leafs,11005EDDB5E63009,Rogers Arena,2024-01-20,16:00,2023-12-12,869,5,12
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2024-03-04,321,2,3
Canucks vs. Ducks,1100572384081F45,Rogers Arena,2020-02-16,14:00,2019-10-28,109,2,10
Canucks vs. Leafs,11005D05E8A552FD,Rogers Arena,2023-03-04,16:00,2022-09-18,124,1,1
Canucks vs. Ducks,1100572384081F45,Rogers Arena,2020-02-16,14:00,2019-12-28,124,1,3
Canucks vs. Coyotes,11005723A110317B,Rogers Arena,2020-03-04,19:30,2019-10-12,18,1,2
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2019-12-03,183,1,2
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2023-07-19,29,1,2
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:30,2024-02-12,281,0,0
Canucks vs. Hurricanes,11005D05E8CE5342,Rogers Arena,2022-10-24,19:30,2022-11-20,4,0,0
Canucks vs. Islanders,11005C3BA86D5CC4,Rogers Arena,2022-02-09,19:30,2022-02-11,4,0,0
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2019-11-24,52,0,0
Canucks vs. Bruins,11005EDDB5F63078,Rogers Arena,2024-02-24,16:00,2024-03-09,8,0,0
Canucks vs. Kings,11005D05E8B95325,Rogers Arena,2023-04-02,17:00,2022-11-22,29,0,0
Canucks vs. Bruins,11005B3CED252D9F,Rogers Arena,2021-12-08,18:00,2021-12-15,6,0,0
Canucks vs. Avalanche,11005B3CED182D8E,Rogers Arena,2021-11-17,18:00,2021-12-08,2,0,0
Canucks vs. Canadiens,11005D05E8E95390,Rogers Arena,2022-12-05,19:30,2023-01-30,0,0,0
Canucks vs. Canadiens,11005B3CECD72C81,Rogers Arena,2022-03-09,19:30,2022-11-29,0,0,0
